ref                                                  title                                    author          lastRunTime                 totalVotes  
---------------------------------------------------  ---------------------------------------  --------------  --------------------------  ----------  
anirbanplabon/day-2a-agent-tools                     Day 2a - Agent Tools                     Anirban Plabon  2025-11-12 07:52:04.200000           0  
anirbanplabon/day-1a-from-prompt-to-action           Day 1a - From Prompt to Action           Anirban Plabon  2025-11-11 08:03:33.107000           0  
anirbanplabon/day-1b-agent-architectures             Day 1b - Agent Architectures             Anirban Plabon  2025-11-12 02:22:19.447000           0  
anirbanplabon/btsv1                                  BTSv1                                    Anirban Plabon  2025-10-25 02:01:47.927000           0  
anirbanplabon/notebookb0ec9bddd2                     notebookb0ec9bddd2                       Anirban Plabon  2025-10-04 05:40:08.217000           0  
anirbanplabon/brats2020-3dunet-v2                    BraTS2020 3dUnet v2                      Anirban Plabon  2025-10-25 02:12:15.980000           0  
anirbanplabon/brats2020-3dunet-1                     BraTS2020_3dUnet_1                       Anirban Plabon  2025-10-03 15:30:23.197000           0  
anirbanplabon/seg-notebook-v1                        seg_notebook_v1                          Anirban Plabon  2025-09-01 16:23:06.070000           0  
anirbanplabon/segm1                                  Segm1                                    Anirban Plabon  2025-08-25 16:06:49.690000           0  
anirbanplabon/notebook9f0fb5feb9                     notebook9f0fb5feb9                       Anirban Plabon  2025-08-25 16:01:06.010000           0  
anirbanplabon/exercise-creating-reading-and-writing  Exercise: Creating, Reading and Writing  Anirban Plabon  2025-06-23 15:34:36.483000           0  
anirbanplabon/retina-segmetation                     Retina_segmetation                       Anirban Plabon  2025-03-23 03:13:20.260000           0  
anirbanplabon/nyu-data-set                           NYU Data set                             Anirban Plabon  2025-02-26 08:22:37.840000           0  
anirbanplabon/mid-fusion-classification              Mid Fusion Classification                Anirban Plabon  2025-02-26 17:38:44.600000           0  
anirbanplabon/bone-disease-classification            Bone Disease Classification              Anirban Plabon  2025-02-16 16:09:50.117000           2  
anirbanplabon/notebooke947f5c9c1                     notebooke947f5c9c1                       Anirban Plabon  2025-01-06 04:20:57.323000           0  
anirbanplabon/arg-gd                                 ARG GD                                   Anirban Plabon  2025-01-06 04:03:00.577000           0  
anirbanplabon/notebookd9325c839a                     notebookd9325c839a                       Anirban Plabon  2025-01-06 04:01:24.347000           0  
anirbanplabon/notebook7c9d11f610                     notebook7c9d11f610                       Anirban Plabon  2024-09-15 17:45:30.543000           0  
anirbanplabon/brats-mms                              BraTS MMS                                Anirban Plabon  2024-05-17 15:35:49.860000           0  
